WTime,TOC,T-N,T-P
2019-03-19,3.6,3.535,0.019
2019-10-11,4,,0.033
2018-11-28,3.4,1.484,0.009
2018-12-04,3.2,1.575,0.012
2019-03-04,3.7,3.441,0.035
2019-03-20,3.5,3.599,0.025
2020-02-29,,3.64,0.051
2020-05-19,4.4,1.772,0.025
2019-01-17,3.3,2.01,0.014
2019-01-26,3.5,1.838,0.013
2020-04-19,5.3,2.638,0.01
2020-06-10,4.3,1.724,0.043
2019-01-02,3.4,1.258,0.013
2019-09-23,,,
2019-12-21,3.4,1.14,0.013
2019-04-20,3.9,2.178,0.017
2019-08-09,5.6,,
2020-01-20,3.2,,0.037
2018-11-13,,1.491,0.016
2020-02-02,3.2,1.791,0.033
2018-12-25,3,1.559,0.009
2020-02-07,3.6,1.794,0.026
2020-03-10,,3.929,0.035
2019-01-16,3.3,1.933,0.014
2019-01-31,3.5,1.894,
2020-03-26,3.8,3.369,0.015
2018-12-26,3.1,1.577,0.01
2020-02-01,3.1,1.73,0.035
2020-03-20,4,3.721,0.026
2019-01-08,3.4,,0.012
2019-05-02,3.9,1.902,0.033
2019-12-18,3.2,1.119,0.015
2020-02-17,,2.336,0.03
2019-01-24,3.5,1.87,0.013
2019-03-26,3.6,2.555,0.025
2019-08-13,5.3,,
2019-10-14,4.2,0.829,0.027
2020-02-13,3.7,1.817,
2018-11-26,3.5,1.459,0.009
2020-03-04,,,0.038
2018-11-07,2.8,1.084,0.014
2019-05-31,5.8,2.018,0.028
2019-08-10,5.4,0.78,
2019-08-28,4.9,1.395,0.061
2020-02-20,,1.865,0.023
2019-01-15,3.3,1.875,
2019-01-23,3.4,1.883,0.013
2019-02-01,3.6,1.854,0.013
2019-07-16,6,3.153,0.169
2019-10-23,4,0.662,0.025
2019-11-16,3.9,1.796,0.012
2018-12-11,,,
2018-12-12,3.3,1.592,0.014
2019-01-22,3.3,1.957,0.011
2019-04-27,4.1,1.592,0.022
2019-11-09,4.6,,0.017
2020-01-25,3.1,1.871,0.04
2020-02-03,3.2,1.806,0.033
2020-02-09,3.7,1.825,0.032
2019-02-03,3.5,2.073,0.016
2019-02-04,3.6,1.924,0.015
2019-12-22,3.7,1.214,0.014
2019-02-14,3.7,2.325,0.02
2019-03-27,3.7,2.584,0.024
2019-08-16,5.4,1.108,0.074
2019-12-12,3.4,1.061,0.01
2020-04-28,4.5,2.472,0.013
2019-04-18,3.9,2.404,
2019-05-05,3.7,1.991,0.034
2019-05-27,4.8,1.846,0.025
2019-06-20,,,
2019-08-03,5.6,2.142,0.051
2019-11-18,,,
2020-01-19,3.1,,0.032
2020-01-29,3.2,1.713,0.039
2020-02-11,3.5,1.676,
2020-02-19,,1.959,0.024
2020-03-15,3.5,3.844,0.031
2020-03-31,4.6,3.289,0.019
2019-03-29,3.7,2.671,0.022
2020-02-15,3.6,1.732,
2018-11-24,3.4,1.47,0.01
2019-01-13,3.1,1.741,0.013
2019-01-30,3.5,1.82,0.012
2019-02-19,3.6,2.292,0.019
2019-03-18,3.5,3.392,0.013
2019-06-06,5.4,2.358,0.033
2019-09-05,4.8,0.252,
2019-11-05,3.8,1.04,0.015
2019-11-28,3.9,1.127,0.014
2019-12-10,3.3,1.095,0.01
2019-04-13,3.9,2.016,
2019-10-07,4.4,0.703,0.029
2020-01-26,3.3,1.787,0.04
2019-02-17,3.7,2.208,0.019
2019-02-18,3.6,2.169,0.017
2019-06-09,5.3,2.27,0.046
2019-12-19,3.2,1.092,0.014
2019-12-31,4,1.229,0.019
2020-01-22,3.5,1.477,0.04
2020-05-09,4.8,2.07,0.016
2020-05-13,5.4,1.849,0.025
2018-12-30,3.2,1.568,0.012
2020-02-08,3.5,1.772,0.028
2018-12-17,3.1,1.674,0.014
2019-08-17,5.5,1.363,0.077
2020-03-16,3.8,3.743,0.03
2020-04-29,4.5,2.424,0.012
2018-12-14,3.3,1.586,0.015
2019-09-06,,,
2020-02-21,,1.747,0.024
2020-03-06,,3.986,0.033
2020-03-11,3.2,3.83,0.035
2019-06-02,5.7,2.051,0.029
2019-07-13,5.6,1.567,0.047
2019-10-16,4.1,,0.02
2019-12-02,3.7,1.18,0.012
2019-05-15,4.5,1.838,0.019
2020-01-15,3.2,1.159,0.062
2020-02-23,,1.927,0.028
2019-04-08,3.7,2.339,0.022
2019-07-31,,,
2019-08-06,5.3,1.564,0.047
2019-08-23,5.3,0.759,0.05
2019-09-28,4.5,0.524,0.032
2019-11-22,3.9,1.488,0.015
2020-02-27,,3.508,0.06
2020-06-30,5.2,1.933,0.064
2018-12-09,3.4,1.382,0.012
2019-03-09,4.3,3.261,0.025
2019-04-11,3.6,2,0.023
2019-06-27,6.1,1.147,0.044
2019-09-13,4.7,0.782,0.089
2019-12-05,3.6,1.011,0.009
2020-02-16,,2.006,
2019-05-29,5.6,2.007,0.028
2019-06-29,6.3,1.34,0.055
2019-07-03,5.7,1.432,0.042
2019-11-07,4.2,,0.014
2020-01-03,3.6,1.171,0.019
2020-04-26,4.3,2.233,0.012
2019-10-21,4,0.624,0.025
2020-02-28,,3.535,0.053
2020-05-26,4.3,1.687,0.031
2019-01-04,3.2,1.675,0.011
2019-10-25,3.9,0.779,0.023
2019-11-20,,1.421,0.013
2020-02-14,3.7,1.768,
2019-06-13,5.6,2.136,
2019-11-25,3.9,1.207,0.013
2020-01-08,4,,0.131
2018-12-18,3.1,1.624,0.013
2019-01-21,3.3,1.992,0.016
2019-01-28,3.5,1.805,0.012
2019-11-03,3.8,1.001,0.018
2019-12-26,3.1,1.152,0.014
2020-02-12,3.5,1.756,
2020-03-03,,3.6,0.042
2020-03-19,3.5,3.865,0.027
2018-12-07,3.4,1.388,0.011
2019-04-29,4.1,1.714,0.021
2018-11-05,3,1.103,
2019-01-06,3.2,2.253,0.011
2019-01-11,3.4,1.614,0.015
2019-01-20,3.2,2.059,0.017
2020-01-09,3.5,,0.107
2020-01-24,3.1,1.919,0.039
2019-06-07,5.2,2.473,0.039
2019-08-24,5.2,0.796,0.053
2019-09-03,4.6,0.225,
2019-07-14,5.6,1.421,0.054
2020-03-12,3.2,3.728,0.033
2020-03-13,3.4,3.784,0.032
2020-03-22,3.9,3.613,0.024
2018-11-16,3.9,1.518,0.016
2019-01-29,3.5,1.796,
2019-05-12,4.5,1.9,0.02
2019-05-30,6,2.042,0.028
2020-03-14,3.5,3.773,0.031
2020-04-16,4.7,2.643,0.009
2019-03-25,3.6,3.181,0.026
2019-07-08,5.6,1.743,0.055
2019-08-31,4.9,0.894,0.052
2019-09-09,,,
2019-12-08,3.5,1.05,0.009
2019-12-17,3.1,1.156,0.015
2018-12-23,3,1.597,0.01
2019-01-01,3.4,1.223,0.012
2019-01-07,3.2,,0.013
2019-03-16,3.7,3.23,0.013
2019-11-27,3.9,1.207,0.013
2020-01-16,3.2,,0.048
2018-11-21,3.7,1.49,0.015
2019-12-29,4.5,1.083,0.015
2019-02-27,4.8,2.874,0.041
2019-04-15,3.6,2.322,
2019-10-31,3.8,0.829,0.015
2020-02-04,3.3,,0.033
2020-03-05,,4.049,0.034
2020-06-20,5.1,1.604,0.062
2019-02-07,3.8,2.052,0.016
2019-05-08,4.2,1.854,0.024
2019-05-22,5.2,1.529,0.025
