time,value,gdp,cpi,wti,dubai,brent,ex_jp,ex_us,sars,flu,mers,sd1,sd2,sd3
Q1 1998,"420,665","529,185",64.38 ,15.70 ,12.24 ,13.77 ,"1,253.77 ","1,606.12 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
Q2 1998,"468,722","526,166",64.58 ,14.26 ,11.64 ,11.88 ,"1,028.28 ","1,394.52 ",0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 
Q3 1998,"549,179","525,192",64.53 ,16.17 ,14.32 ,14.78 ,949.81 ,"1,325.21 ",0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
Q4 1998,"515,850","530,845",64.82 ,12.09 ,10.46 ,10.57 ,"1,075.66 ","1,279.86 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
Q1 1999,"522,280","520,480",64.84 ,16.76 ,14.76 ,15.09 ,"1,028.94 ","1,198.68 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
Q2 1999,"507,583","520,902",64.96 ,19.29 ,16.61 ,17.07 ,986.67 ,"1,191.41 ",0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 
Q3 1999,"576,259","520,197",64.95 ,24.51 ,22.56 ,22.81 ,"1,051.43 ","1,194.16 ",0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
Q4 1999,"577,999","519,212",65.66 ,25.60 ,23.28 ,24.89 ,"1,123.92 ","1,174.46 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
Q1 2000,"572,811","527,383",66.08 ,26.90 ,23.72 ,24.12 ,"1,051.38 ","1,125.41 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
Q2 2000,"595,097","526,390",66.00 ,32.50 ,27.52 ,31.32 ,"1,047.56 ","1,116.29 ",0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 
Q3 2000,"660,493","525,603",66.88 ,30.84 ,28.29 ,28.62 ,"1,036.27 ","1,115.27 ",0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
Q4 2000,"643,653","528,941",67.33 ,26.80 ,20.07 ,22.54 ,"1,060.17 ","1,164.11 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
Q1 2001,"594,085","532,757",68.52 ,26.30 ,22.66 ,23.63 ,"1,075.61 ","1,271.68 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
Q2 2001,"637,213","526,006",69.32 ,26.26 ,24.48 ,26.45 ,"1,064.78 ","1,305.68 ",0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 
Q3 2001,"659,994","518,449",69.72 ,23.43 ,21.51 ,21.96 ,"1,064.68 ","1,293.78 ",0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
Q4 2001,"486,029","515,853",69.55 ,19.84 ,18.28 ,19.30 ,"1,044.94 ","1,291.84 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
Q1 2002,"538,456","516,942",70.26 ,26.31 ,24.36 ,25.60 ,997.01 ,"1,319.63 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
Q2 2002,"487,028","515,634",71.19 ,26.86 ,24.56 ,25.44 ,"1,001.10 ","1,270.68 ",0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 
Q3 2002,"665,406","515,715",71.48 ,30.45 ,27.18 ,28.87 ,"1,003.35 ","1,196.34 ",0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
Q4 2002,"629,947","516,001",71.85 ,31.20 ,26.24 ,29.99 ,996.83 ,"1,220.96 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
Q1 2003,"509,013","512,017",73.12 ,31.04 ,24.63 ,27.98 ,"1,009.74 ","1,201.11 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
Q2 2003,"290,580","515,915",73.54 ,30.19 ,26.10 ,28.16 ,"1,020.67 ","1,209.81 ",1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 
Q3 2003,"467,000","516,166",73.74 ,29.20 ,25.50 ,28.34 ,"1,000.63 ","1,175.75 ",1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
Q4 2003,"535,949","518,298",74.38 ,32.52 ,27.90 ,30.48 ,"1,085.60 ","1,181.25 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
Q1 2004,"517,779","521,462",75.49 ,35.76 ,30.79 ,32.36 ,"1,092.48 ","1,171.85 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
Q2 2004,"548,838","519,595",76.05 ,37.05 ,31.32 ,33.51 ,"1,059.86 ","1,161.92 ",0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 
Q3 2004,"668,167","521,870",76.93 ,49.64 ,37.66 ,47.08 ,"1,051.77 ","1,155.21 ",0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
Q4 2004,"708,286","521,221",76.89 ,43.45 ,33.11 ,40.24 ,"1,033.76 ","1,093.97 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
Q1 2005,"649,305","521,348",77.95 ,55.40 ,45.91 ,53.05 ,979.15 ,"1,022.48 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
Q2 2005,"527,223","523,124",78.31 ,56.50 ,52.09 ,54.85 ,937.25 ,"1,007.96 ",0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 
Q3 2005,"612,321","526,130",78.73 ,66.24 ,56.32 ,62.56 ,925.32 ,"1,029.19 ",0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
Q4 2005,"651,289","526,436",78.78 ,61.04 ,53.19 ,58.87 ,884.14 ,"1,037.00 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
Q1 2006,"556,658","525,748",79.57 ,66.63 ,59.16 ,64.94 ,836.14 ,977.52 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
Q2 2006,"566,434","526,075",80.07 ,73.93 ,67.17 ,73.28 ,830.34 ,950.41 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 
Q3 2006,"603,389","524,428",80.72 ,62.91 ,57.33 ,61.37 ,821.92 ,955.02 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 
Q4 2006,"612,440","531,193",80.46 ,61.05 ,56.71 ,60.13 ,797.07 ,938.40 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
Q1 2007,"560,997","533,567",81.16 ,65.87 ,63.12 ,68.42 ,786.70 ,938.90 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
Q2 2007,"522,964","534,118",82.03 ,70.68 ,66.42 ,72.82 ,769.95 ,929.26 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 
